iter	Passed	Remaining
720	6765	2618
721	6774	2608
722	6783	2598
723	6792	2589
724	6802	2580
725	6813	2571
726	6822	2562
727	6831	2552
728	6840	2543
729	6849	2533
730	6858	2523
731	6867	2514
732	6876	2504
733	6886	2495
734	6895	2486
735	6904	2476
736	6913	2466
737	6921	2457
738	6930	2447
739	6940	2438
740	6949	2429
741	6958	2419
742	6967	2409
743	6976	2400
744	6985	2391
745	6994	2381
746	7003	2371
747	7011	2362
748	7020	2352
749	7028	2342
750	7039	2333
751	7048	2324
752	7057	2314
753	7067	2305
754	7076	2296
755	7085	2287
756	7095	2277
757	7105	2268
758	7114	2259
759	7123	2249
760	7131	2239
761	7141	2230
762	7149	2220
763	7158	2211
764	7167	2201
765	7175	2192
766	7184	2182
767	7193	2173
768	7202	2163
769	7212	2154
770	7221	2144
771	7230	2135
772	7239	2125
773	7248	2116
774	7258	2107
775	7267	2097
776	7279	2089
777	7287	2079
778	7296	2069
779	7305	2060
780	7314	2051
781	7323	2041
782	7333	2032
783	7342	2022
784	7351	2013
785	7360	2004
786	7369	1994
787	7378	1985
788	7388	1975
789	7396	1966
790	7405	1956
791	7415	1947
792	7423	1937
793	7432	1928
794	7442	1919
795	7450	1909
796	7460	1900
797	7470	1891
798	7479	1881
799	7488	1872
800	7498	1863
801	7508	1853
802	7517	1844
803	7526	1834
804	7535	1825
805	7545	1816
806	7554	1806
807	7564	1797
808	7572	1787
809	7581	1778
810	7591	1769
811	7599	1759
812	7608	1750
813	7617	1740
814	7626	1731
815	7634	1721
816	7643	1712
817	7653	1702
818	7662	1693
819	7671	1683
820	7680	1674
821	7689	1665
822	7699	1655
823	7708	1646
824	7716	1636
825	7727	1627
826	7736	1618
827	7749	1609
828	7758	1600
829	7766	1590
830	7775	1581
831	7784	1571
832	7793	1562
833	7802	1553
834	7811	1543
835	7820	1534
836	7829	1524
837	7837	1515
838	7848	1506
839	7856	1496
840	7865	1487
841	7875	1477
842	7885	1468
843	7893	1458
844	7902	1449
845	7911	1440
846	7920	1430
847	7929	1421
848	7937	1411
849	7947	1402
850	7957	1393
851	7965	1383
852	7975	1374
853	7984	1365
854	7993	1355
855	8002	1346
856	8010	1336
857	8020	1327
858	8029	1317
859	8038	1308
860	8048	1299
861	8056	1289
862	8066	1280
863	8075	1271
864	8084	1261
865	8093	1252
866	8101	1242
867	8110	1233
868	8120	1224
869	8129	1214
870	8140	1205
871	8148	1196
872	8158	1186
873	8168	1177
874	8177	1168
875	8186	1158
876	8199	1150
877	8208	1140
878	8217	1131
879	8226	1121
880	8234	1112
881	8244	1102
882	8252	1093
883	8262	1084
884	8271	1074
885	8280	1065
886	8288	1055
887	8297	1046
888	8306	1037
889	8316	1027
890	8325	1018
891	8334	1009
892	8343	999
893	8353	990
894	8362	981
895	8371	971
896	8380	962
897	8388	952
898	8397	943
899	8406	934
900	8415	924
901	8424	915
902	8434	906
903	8443	896
904	8452	887
905	8462	877
906	8472	868
907	8480	859
908	8490	849
909	8499	840
910	8508	831
911	8519	822
912	8527	812
913	8536	803
914	8546	793
915	8555	784
916	8564	775
917	8573	765
918	8582	756
919	8591	747
920	8600	737
921	8609	728
922	8618	718
923	8627	709
924	8636	700
925	8645	690
926	8654	681
927	8666	672
928	8675	663
929	8684	653
930	8693	644
931	8702	634
932	8710	625
933	8719	616
934	8728	606
935	8739	597
936	8748	588
937	8757	578
938	8767	569
939	8778	560
940	8788	551
941	8798	541
942	8808	532
943	8819	523
944	8828	513
945	8836	504
946	8845	495
947	8854	485
948	8863	476
949	8873	467
950	8882	457
951	8890	448
952	8899	438
953	8909	429
954	8918	420
955	8927	410
956	8936	401
957	8945	392
958	8954	382
959	8963	373
960	8972	364
961	8981	354
962	8990	345
963	8998	336
964	9008	326
965	9019	317
966	9028	308
967	9037	298
968	9046	289
969	9055	280
970	9065	270
971	9074	261
972	9083	252
973	9092	242
974	9101	233
975	9110	224
976	9118	214
977	9130	205
978	9140	196
979	9148	186
980	9157	177
981	9166	168
982	9175	158
983	9184	149
984	9193	139
985	9202	130
986	9211	121
987	9219	111
988	9229	102
989	9238	93
990	9248	83
991	9258	74
992	9267	65
993	9276	55
994	9286	46
995	9297	37
996	9306	28
997	9315	18
998	9324	9
999	9333	0
